;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
INFORMAÇÕES SOBRE A DEMANDA - 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entrada de Passageiros por Linha¹ (em milhares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;LINHA 2-VERDE;;;;;;;;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;;;;;;;;
Jan*;11.572;483;263;157;512;;Jan*;6.058;261;119;73;275;;;;;;;;;;;;;;;;;;
Fev*;11.870;509;304;158;526;;Fev*;6.334;279;142;80;286;;;;;;;;;;;;;;;;;;
Mar*;9.795;398;192;100;531;;Mar*;5.570;230;99;53;286;;;;;;;;;;;;;;;;;;
Abr*;9.192;388;204;109;449;;Abr*;5.161;220;105;61;250;;;;;;;;;;;;;;;;;;
Mai*;11.414;459;295;145;476;;Mai*;6.301;256;144;78;266;;;;;;;;;;;;;;;;;;
Jun*;12.216;476;311;159;497;;Jun*;6.794;270;154;85;277;;;;;;;;;;;;;;;;;;
Jul*;12.800;489;318;166;517;;Jul*;7.114;275;162;94;288;;;;;;;;;;;;;;;;;;
Ago*;13.887;531;336;173;553;;Ago*;7.899;306;165;101;322;;;;;;;;;;;;;;;;;;
Set*;14.620;580;373;202;600;;Set*;8.167;328;178;118;338;;;;;;;;;;;;;;;;;;
Out*;15.384;614;403;196;652;;Out*;8.506;348;195;112;365;;;;;;;;;;;;;;;;;;
Nov*;16.326;662;443;241;679;;Nov*;8.913;370;204;136;382;;;;;;;;;;;;;;;;;;
Dez*;16.317;627;495;250;712;;Dez*;8.877;349;225;138;398;;;;;;;;;;;;;;;;;;
2021;155.393;518;328;171;712;;2021;85.694;291;158;94;398;;;;;;;;;;;;;;;;;;
¹ Corresponde às entradas pelas linhas de bloqueios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LINHA 3-VERMELHA;;;;;;;LINHA 15-PRATA;;;;;;;;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;;;;;;;;
Jan*;14.433;601;329;197;639;;Jan*;932;39;21;12;42;;;;;;;;;;;;;;;;;;
Fev*;14.848;635;379;212;658;;Fev*;966;41;24;13;43;;;;;;;;;;;;;;;;;;
Mar*;12.699;511;256;144;664;;Mar*;887;36;18;10;43;;;;;;;;;;;;;;;;;;
Abr*;11.808;493;266;153;566;;Abr*;831;35;19;10;39;;;;;;;;;;;;;;;;;;
Mai*;14.212;568;369;191;592;;Mai*;970;39;25;13;41;;;;;;;;;;;;;;;;;;
Jun*;15.052;589;384;184;617;;Jun*;1.055;41;26;14;43;;;;;;;;;;;;;;;;;;
Jul*;15.736;603;387;198;635;;Jul*;1.031;43;17;9;46;;;;;;;;;;;;;;;;;;
Ago*;16.941;650;402;209;680;;Ago*;1.176;47;23;10;50;;;;;;;;;;;;;;;;;;
Set*;17.307;691;432;231;742;;Set*;1.214;50;30;11;51;;;;;;;;;;;;;;;;;;
