bebida,borda,ingrediente 1,ingrediente 2,ingrediente 3,ingrediente 4,ingrediente 5,massa,queijo 1,queijo 2
refrigerante,borda tradicional,pepperoni,orégano,frango,calabresa,bacon,massa final,mussarela,provolone
refrigerante,cheddar,pepperoni,tomate,presunto,palmito,bacon,massa tradicional,mussarela,provolone
cerveja,sabor catupiry,pepperoni,pimenta biquinho,linguiça calabresa defumada,cogumelos,alho-poró,massa final,mussarela,catupiry
refrigerante,cheddar,cebola,pimenta calabresa,calabresa,NA,NA,massa tradicional,mussarela,NA
suco de laranja,borda tradicional,pepperoni,tomate,cogumelos,cebola caramelizada,azeitona,massa grossa,provolone,gorgonzola
suco de laranja,cream cheese,cebola,tomate,azeitona,NA,NA,massa tradicional,mussarela,provolone
suco de laranja,sabor catupiry,presunto,orégano,milho,azeitona,NA,massa grossa,mussarela,catupiry
cerveja,cream cheese,presunto,tomate,rúcula,orégano,bacon,massa tradicional,mussarela,cheddar
refrigerante,borda tradicional,pepperoni,tomate seco,presunto,carne seca,bacon,massa final,mussarela,queijo coalho
água com gás,sabor catupiry,pepperoni,linguiça calabresa defumada,carne seca,camarão,alho-poró,massa final,mussarela,gorgonzola
refrigerante,cheddar,orégano,tomate seco,pimenta biquinho,carne seca,alho-poró,massa grossa,mussarela,parmesão
água com gás,cheddar,presunto,tomate,milho,linguiça calabresa defumada,bacon,massa tradicional,mussarela,catupiry
cerveja,cream cheese,presunto,tomate,orégano,cebola,bacon,massa integral,mussarela,queijo brie
vinho tinto,sabor catupiry,pepperoni,queijo roquefort,cogumelos,carne seca,camarão,massa final,provolone,gorgonzola
suco de laranja,sabor catupiry,pepperoni,orégano,cebola,carne seca,bacon,massa final,mussarela,catupiry
suco de uva,sabor catupiry,azeitona,brócolis,palmito,orégano,azeite de oliva,massa tradicional,mussarela,catupiry
cerveja,sabor catupiry,tomate,NA,NA,NA,NA,massa tradicional,mussarela,gorgonzola
refrigerante,borda tradicional,cogumelos,palmito,abacaxi,NA,NA,massa grossa,mussarela,queijo brie
refrigerante,borda tradicional,cogumelos,palmito,ovo,cebola,ervilha,massa tradicional,mussarela,queijo brie
refrigerante,borda tradicional,cebola,calabresa,pimentão,tomate,orégano,massa tradicional,mussarela,NA
suco de maracujá,sabor catupiry,frango,bacon,pepperoni,calabresa,cebola,massa final,mussarela,parmesão
suco de laranja,borda tradicional,alho,pepperoni,cogumelos,alho-poró,tomate seco,massa final,mussarela,provolone
vinho tinto,sabor catupiry,pepperoni,milho,tomate seco,azeitona,queijo cheddar,massa final,mussarela,parmesão
refrigerante,borda tradicional,calabresa,orégano,pimenta calabresa,linguiça calabresa defumada,azeite de oliva,massa grossa,mussarela,catupiry
refrigerante,borda tradicional,tomate,pimentão,cogumelos,palmito,rúcula,massa final,mussarela,provolone
chá gelado,cream cheese,calabresa,orégano,bacon,cebola,alho,massa grossa,mussarela,queijo brie
vinho tinto,borda tradicional,milho,bacon,NA,NA,pepperoni,massa final,parmesão,NA
vinho tinto,sabor catupiry,camarão,pepperoni,tomate seco,orégano,cebola,massa tradicional,parmesão,queijo brie
vinho tinto,sabor catupiry,pepperoni,tomate,alho,bacon,linguiça calabresa defumada,massa tradicional,mussarela,provolone
refrigerante,sabor catupiry,pepperoni,calabresa,cebola,queijo cheddar,alho,massa final,mussarela,parmesão
chá gelado,cream cheese,mel,cebola caramelizada,alho,linguiça calabresa defumada,pimenta calabresa,massa tradicional,mussarela,gorgonzola
NA,borda tradicional,bacon,tomate,frango,berinjela,abobrinha,massa tradicional,mussarela,NA
refrigerante,borda tradicional,queijo coalho grelhado,pepperoni,presunto,alho,orégano,massa tradicional,mussarela,parmesão
cerveja,borda tradicional,frango,azeitona,pimentão,bacon,cebola,massa tradicional,mussarela,catupiry
suco de abacaxi,sabor catupiry,alcaparra,cogumelos,tomate,lentilha,palmito,massa final,mussarela,gorgonzola
cerveja,borda tradicional,calabresa,pepperoni,NA,NA,NA,massa final,mussarela,parmesão
refrigerante,cream cheese,cebola,bacon,rúcula,orégano,calabresa,massa final,parmesão,mussarela
