"","bebida","borda","ingrediente 1","ingrediente 2","ingrediente 3","ingrediente 4","ingrediente 5","massa","queijo 1","queijo 2"
"1","refrigerante","borda tradicional","pepperoni","orégano","frango","calabresa","bacon","massa final","mussarela","provolone"
"2","refrigerante","cheddar","pepperoni","tomate","presunto","palmito","bacon","massa tradicional","mussarela","provolone"
"3","cerveja","sabor catupiry","pepperoni","pimenta biquinho","linguiça calabresa defumada","cogumelos","alho-poró","massa final","mussarela","catupiry"
"4","refrigerante","cheddar","cebola","pimenta calabresa","calabresa",NA,NA,"massa tradicional","mussarela",NA
"5","suco de laranja","borda tradicional","pepperoni","tomate","cogumelos","cebola caramelizada","azeitona","massa grossa","provolone","gorgonzola"
"6","suco de laranja","cream cheese","cebola","tomate","azeitona",NA,NA,"massa tradicional","mussarela","provolone"
"7","suco de laranja","sabor catupiry","presunto","orégano","milho","azeitona",NA,"massa grossa","mussarela","catupiry"
"8","cerveja","cream cheese","presunto","tomate","rúcula","orégano","bacon","massa tradicional","mussarela","cheddar"
"9","refrigerante","borda tradicional","pepperoni","tomate seco","presunto","carne seca","bacon","massa final","mussarela","queijo coalho"
"10","água com gás","sabor catupiry","pepperoni","linguiça calabresa defumada","carne seca","camarão","alho-poró","massa final","mussarela","gorgonzola"
"11","refrigerante","cheddar","orégano","tomate seco","pimenta biquinho","carne seca","alho-poró","massa grossa","mussarela","parmesão"
"12","água com gás","cheddar","presunto","tomate","milho","linguiça calabresa defumada","bacon","massa tradicional","mussarela","catupiry"
"13","cerveja","cream cheese","presunto","tomate","orégano","cebola","bacon","massa integral","mussarela","queijo brie"
"14","vinho tinto","sabor catupiry","pepperoni","queijo roquefort","cogumelos","carne seca","camarão","massa final","provolone","gorgonzola"
"15","suco de laranja","sabor catupiry","pepperoni","orégano","cebola","carne seca","bacon","massa final","mussarela","catupiry"
"16","suco de uva","sabor catupiry","azeitona","brócolis","palmito","orégano","azeite de oliva","massa tradicional","mussarela","catupiry"
"17","cerveja","sabor catupiry","tomate",NA,NA,NA,NA,"massa tradicional","mussarela","gorgonzola"
"18","refrigerante","borda tradicional","cogumelos","palmito","abacaxi",NA,NA,"massa grossa","mussarela","queijo brie"
"19","refrigerante","borda tradicional","cogumelos","palmito","ovo","cebola","ervilha","massa tradicional","mussarela","queijo brie"
"20","refrigerante","borda tradicional","cebola","calabresa","pimentão","tomate","orégano","massa tradicional","mussarela",NA
"21","suco de maracujá","sabor catupiry","frango","bacon","pepperoni","calabresa","cebola","massa final","mussarela","parmesão"
"22","suco de laranja","borda tradicional","alho","pepperoni","cogumelos","alho-poró","tomate seco","massa final","mussarela","provolone"
"23","vinho tinto","sabor catupiry","pepperoni","milho","tomate seco","azeitona","queijo cheddar","massa final","mussarela","parmesão"
"24","refrigerante","borda tradicional","calabresa","orégano","pimenta calabresa","linguiça calabresa defumada","azeite de oliva","massa grossa","mussarela","catupiry"
"25","refrigerante","borda tradicional","tomate","pimentão","cogumelos","palmito","rúcula","massa final","mussarela","provolone"
"26","chá gelado","cream cheese","calabresa","orégano","bacon","cebola","alho","massa grossa","mussarela","queijo brie"
"27","vinho tinto","borda tradicional","milho","bacon",NA,NA,"pepperoni","massa final","parmesão",NA
"28","vinho tinto","sabor catupiry","camarão","pepperoni","tomate seco","orégano","cebola","massa tradicional","parmesão","queijo brie"
"29","vinho tinto","sabor catupiry","pepperoni","tomate","alho","bacon","linguiça calabresa defumada","massa tradicional","mussarela","provolone"
"30","refrigerante","sabor catupiry","pepperoni","calabresa","cebola","queijo cheddar","alho","massa final","mussarela","parmesão"
"31","chá gelado","cream cheese","mel","cebola caramelizada","alho","linguiça calabresa defumada","pimenta calabresa","massa tradicional","mussarela","gorgonzola"
"32",NA,"borda tradicional","bacon","tomate","frango","berinjela","abobrinha","massa tradicional","mussarela",NA
"33","refrigerante","borda tradicional","queijo coalho grelhado","pepperoni","presunto","alho","orégano","massa tradicional","mussarela","parmesão"
"34","cerveja","borda tradicional","frango","azeitona","pimentão","bacon","cebola","massa tradicional","mussarela","catupiry"
"35","suco de abacaxi","sabor catupiry","alcaparra","cogumelos","tomate","lentilha","palmito","massa final","mussarela","gorgonzola"
"36","cerveja","borda tradicional","calabresa","pepperoni",NA,NA,NA,"massa final","mussarela","parmesão"
"37","refrigerante","cream cheese","cebola","bacon","rúcula","orégano","calabresa","massa final","parmesão","mussarela"
"38","refrigerante","sabor catupiry","calabresa","presunto","tomate","alho","cebola","massa tradicional","mussarela","cheddar"
"39","vinho tinto","borda tradicional","cogumelos","carne seca","azeite de oliva","presunto","tomate seco","massa tradicional","queijo brie","ricota"
"40","suco de uva","sabor catupiry","bacon","frango","carne seca","linguiça calabresa defumada","calabresa","massa tradicional","catupiry","gorgonzola"
"41","cerveja","sabor catupiry","tomate","azeitona","presunto","bacon","linguiça calabresa defumada","massa grossa","parmesão","mussarela"
"42","refrigerante","borda tradicional","bacon","azeitona","orégano","pimenta calabresa","calabresa","massa tradicional","mussarela","catupiry"
"43","refrigerante","borda tradicional","bacon","ovo","tomate","milho","presunto","massa tradicional","parmesão","mussarela"
"44","suco de laranja","borda tradicional","calabresa","cebolinha","presunto","tomate","bacon","massa tradicional","catupiry","mussarela"
"45","água com gás","sabor catupiry","calabresa","cebola",NA,NA,NA,"massa final","mussarela",NA
"46","suco de abacaxi","cheddar","alho","cogumelos","pimentão","azeitona","pepperoni","massa tradicional","gorgonzola","cheddar"
"47","refrigerante","cream cheese","presunto","calabresa","frango","bacon","tomate","massa tradicional","mussarela","cheddar"
"48","suco de laranja","sabor catupiry","bacon","alho","cogumelos","pimenta calabresa","queijo cheddar","massa grossa","mussarela","queijo brie"
"49","cerveja","sabor catupiry","bacon","frango","calabresa","calabresa","tomate seco","massa tradicional","provolone","gorgonzola"
"50","suco de laranja","sabor catupiry","frango","bacon","cebola caramelizada","pimenta calabresa","azeitona","massa tradicional","mussarela","gorgonzola"
"51","vinho tinto","borda tradicional","nozes","cebola","alho","amêndoas",NA,"massa tradicional","mussarela","provolone"
"52","suco de abacaxi","sabor catupiry","presunto","carne seca","azeitona","palmito","bacon","massa tradicional","mussarela","ricota"
"53","suco de laranja","borda tradicional","tomate","bacon","frango","calabresa","ovo","massa tradicional","parmesão","mussarela"
"54","refrigerante","cream cheese","presunto","tomate","azeitona","bacon","amêndoas","massa tradicional","mussarela","catupiry"
"55","refrigerante","borda tradicional","pepperoni","tomate","rúcula","azeitona","queijo cheddar","massa tradicional","mussarela","parmesão"
"56","vinho tinto","borda tradicional","tomate","bacon","cebola","azeitona","azeite de oliva","massa tradicional","mussarela","gorgonzola"
"57","refrigerante","sabor catupiry","queijo de cabra","pepperoni","orégano","pepperoni","queijo roquefort","massa tradicional","gorgonzola","cheddar"
"58","suco de laranja","borda tradicional","abacaxi","azeitona","presunto","tomate","frango","massa tradicional","mussarela","catupiry"
"59","refrigerante","sabor catupiry","presunto","tomate","azeitona","orégano","alho","massa tradicional","mussarela","catupiry"
"60","suco de abacaxi","cheddar","cogumelos","azeitona","abacaxi","alho-poró","cebola caramelizada","massa integral","queijo brie","parmesão"
"61","refrigerante","borda tradicional","pepperoni","bacon","frango","linguiça calabresa defumada",NA,"massa tradicional","mussarela","mussarela"
"62","água com gás","borda tradicional","azeitona","tomate seco","cogumelos","presunto","bacon","massa final","mussarela","gorgonzola"
"63","cerveja","cheddar","pimentão","tomate","calabresa","azeite de oliva","alho","massa final","parmesão","catupiry"
"64","cerveja","sabor catupiry","calabresa","queijo coalho grelhado","bacon","cebolinha","alho-poró","massa final","mussarela","provolone"
"65","refrigerante","sabor catupiry","azeitona","tomate seco",NA,NA,NA,"massa tradicional","mussarela","queijo brie"
"66","vinho tinto","sabor catupiry","alho","cebola","tomate","bacon","mel","massa tradicional","mussarela","queijo brie"
"67","refrigerante","borda tradicional","pepperoni","tomate","atum","milho","frango","massa tradicional","mussarela","parmesão"
"68","refrigerante","borda tradicional","presunto",NA,NA,NA,NA,"massa tradicional","mussarela",NA
"69","cerveja","sabor catupiry","pepperoni","pimenta calabresa","rúcula","bacon","orégano","massa final","mussarela","parmesão"
"70","refrigerante","borda tradicional","cebola","azeitona","orégano","tomate","bacon","massa tradicional","mussarela","parmesão"
"71","suco de maracujá","cheddar","azeitona","cebola","calabresa","alho-poró","orégano","massa tradicional","mussarela","catupiry"
"72","suco de uva","sabor catupiry","bacon","palmito","rúcula","tomate seco","azeite de oliva","massa tradicional","mussarela","gorgonzola"
"73","cerveja","cheddar","brócolis","pimentão","salsinha","queijo roquefort","grão de bico","massa tradicional","catupiry","gorgonzola"
"74","vinho tinto","cheddar","cogumelos","cebola","alho","atum","azeite de oliva","massa tradicional","mussarela","catupiry"
"75","refrigerante","sabor catupiry","azeitona","brócolis","frango","orégano","tomate seco","massa final","mussarela","cheddar"
"76","suco de maracujá","sabor catupiry","cebola","cogumelos","brócolis","tomate","azeite de oliva","massa tradicional","gorgonzola","catupiry"
"77","suco de maracujá","cream cheese","brócolis","frango","cebola","alho-poró","tomate","massa tradicional","mussarela","parmesão"
"78","suco de laranja","borda tradicional","cogumelos","brócolis","tomate seco",NA,NA,"massa final","mussarela","ricota"
"79","chá gelado","borda tradicional","pepperoni","cebola","cogumelos",NA,NA,"massa tradicional","mussarela","gorgonzola"
"80","refrigerante","cheddar","cogumelos","cebola","calabresa","salsinha","palmito","massa tradicional","mussarela","gorgonzola"
"81","refrigerante","borda tradicional","azeitona","tomate","camarão","cebola","pepperoni","massa final","mussarela","parmesão"
"82","cerveja","sabor catupiry","cebola","milho","pepperoni","bacon","orégano","massa final","catupiry","mussarela"
"83","água com gás","sabor catupiry","bacon","atum","azeitona","palmito","alcaparra","massa final","catupiry","cheddar"
"84","cerveja","sabor catupiry","pepperoni","cogumelos","mel","alho","pimenta biquinho","massa tradicional","mussarela","queijo brie"
"85","limonada","cream cheese","alcaparra","cogumelos","cebola","brócolis","azeitona","massa tradicional","parmesão","gorgonzola"
"86","cerveja","borda tradicional","presunto","azeitona","cebola","calabresa","ovo","massa final","mussarela","cheddar"
"87","suco de laranja","cream cheese","carne seca","cebola","tomate","brócolis","pimentão","massa tradicional","parmesão","gorgonzola"
"88","refrigerante","sabor catupiry","cogumelos","palmito","brócolis","tomate seco",NA,"massa tradicional","mussarela","parmesão"
"89","refrigerante","cheddar","linguiça","cebola","presunto","pepperoni","pimentão","massa grossa","mussarela","queijo coalho"
"90","chá gelado","sabor catupiry","cogumelos","alho","azeite de oliva","presunto","pimenta calabresa","massa tradicional","mussarela","parmesão"
"91","vinho tinto","cream cheese","alho","cebola","tomate","pepperoni","rúcula","massa tradicional","mussarela","queijo coalho"
"92","suco de laranja","sabor catupiry","cebola","orégano","azeitona","calabresa","carne seca","massa tradicional","mussarela","provolone"
"93","água com gás","borda tradicional","pepperoni","cebola","azeite de oliva",NA,NA,"massa final","mussarela","gorgonzola"
"94","suco de laranja","borda tradicional","cogumelos","nozes","alho-poró","alho","mel","massa tradicional","queijo brie","mussarela"
